Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 10/14  13:00:00,0.871538074,2.588109988,0,1.876080315,0,0.051654654,0.051654654,0.051654654,0.10367836,0.022588873,0.365867481,0.310636706,0.690633726
 10/14  14:00:00,0.850745973,2.227688288,0,1.564446258,0,0.043074344,0.043074344,0.043074344,0.10367836,0.022588873,0.336164252,0.328128143,0.640641314
 10/14  15:00:00,0.883270693,2.221495503,0,1.550675245,0,0.042695183,0.042695183,0.042695183,0.109135134,0.023777747,0.344182752,0.346367877,0.64696323
 10/14  16:00:00,1.028424526,2.260960891,0,1.520672015,0,0.041869096,0.041869096,0.041869096,0.136418834,0.029722188,0.393609916,0.409692493,0.712070194
 10/14  17:00:00,1.33496306,3.189116306,0,2.313015586,0,0.063684917,0.063684917,0.063684917,0.223726957,0.048744404,0.483983879,0.497710904,0.841819531
 10/14  18:00:00,1.573877377,2.863053324,0,1.856269,0,0.051109183,0.051109183,0.051109183,0.409256585,0.089166582,0.436869206,0.540363821,0.969565299
 10/14  19:00:00,1.770597331,3.103659833,0,2.067805812,0,0.056933486,0.056933486,0.056933486,0.643897005,0.140288752,0.354604366,0.557761721,0.99743667
 10/14  20:00:00,1.844339027,3.524667539,0,2.556492115,0,0.070388625,0.070388625,0.070388625,0.709378119,0.154555418,0.315968038,0.576936826,0.928437335
 10/14  21:00:00,1.69096585,4.025101232,0,3.151078535,0,0.086759543,0.086759543,0.086759543,0.594786295,0.129588761,0.299251766,0.563467484,0.835212345
 10/14  22:00:00,1.390307474,4.404759222,0,3.677873283,0,0.101263932,0.101263932,0.101263932,0.447453915,0.097488789,0.239379941,0.487608897,0.693300554
 10/14  23:00:00,1.093573722,4.833666443,0,4.26929195,0,0.117547631,0.117547631,0.117547631,0.311034998,0.067766601,0.156389433,0.423723058,0.535189417
 10/14  24:00:00,0.79264946,5.280199417,0,4.887633975,0,0.134572618,0.134572618,0.134572618,0.158245844,0.034477737,0.097757751,0.35048351,0.368424939
 10/15  01:00:00,0.685768866,5.60037739,0,5.28227262,0,0.145438316,0.145438316,0.145438316,0.098221587,0.021399981,0.08089399,0.322702991,0.295877725
 10/15  02:00:00,0.632351897,5.729036278,0,5.431394469,0,0.149544131,0.149544131,0.149544131,0.065481055,0.014266654,0.06698655,0.318961507,0.27567247
 10/15  03:00:00,0.618021868,5.684757172,0,5.382359359,0,0.148194033,0.148194033,0.148194033,0.065481055,0.014266654,0.058496399,0.314471727,0.280737719
 10/15  04:00:00,0.614514724,5.620560979,0,5.260816259,0,0.144847552,0.144847552,0.144847552,0.065481055,0.014266654,0.070214948,0.302592515,0.338902839
 10/15  05:00:00,0.670140022,5.864426696,0,5.250101392,0,0.144552537,0.144552537,0.144552537,0.070937812,0.015455542,0.084413205,0.337668927,0.591067441
 10/15  06:00:00,0.877336156,6.392850113,0,5.302043757,0,0.145982681,0.145982681,0.145982681,0.147332381,0.032099972,0.144665883,0.39014324,1.063934182
 10/15  07:00:00,1.175446253,5.964606465,0,4.7381534,0,0.130456927,0.130456927,0.130456927,0.300121534,0.065388817,0.232810552,0.414556423,1.197899366
 10/15  08:00:00,1.117769887,5.520823656,0,4.326340685,0,0.11911837,0.11911837,0.11911837,0.267380978,0.058255502,0.305419527,0.35048351,1.170342468
 10/15  09:00:00,0.9690174,5.255311452,0,4.166875421,0,0.114727768,0.114727768,0.114727768,0.130962144,0.028533314,0.379392366,0.298289809,1.06789051
 10/15  10:00:00,0.983069834,5.843996662,0,4.879526733,0,0.134349399,0.134349399,0.134349399,0.10367836,0.022588873,0.40003611,0.305305091,0.943441212
